,stadium_name,stadium_location,stadium_open,stadium_close,stadium_type,stadium_address,stadium_weather_type,stadium_capacity,stadium_surface,stadium_latitude,stadium_longitude,stadium_elevation
0,Acrisure Stadium,"Pittsburgh, PA",2001,,outdoor,"100 Art Rooney Ave, Pittsburgh, PA 15212",cold,65500,Grass,40.4846,-80.2144,366.7
1,Alamo Dome,"San Antonio, TX",,,indoor,"100 Montana St, San Antonio, TX 78203",indoor,72000,FieldTurf,29.416944,-98.478889,
2,Allegiant Stadium,"Paradise, NV",2020,,indoor,,indoor,65000,Grass,36.09075,-115.183722,
3,Allianz Arena,"Munich, Germany",,,outdoor,,moderate,75024,Grass,,,
4,Alltel Stadium,"Jacksonville, FL",,,,,warm,,,30.323889,-81.6375,6.1
5,Alumni Stadium,"Chestnut Hill, MA",,,outdoor,"Perimeter Rd, Chestnut Hill, MA 02467",cold,,Grass,,,
6,Anaheim Stadium,"Anaheim, CA",1980,1994,outdoor,"2000 E Gene Autry Way, Anaheim, CA 92806",warm,,,,,
7,Arrowhead Stadium,"Kansas City, MO",1972,,outdoor,"1 Arrowhead Dr, Kansas City, MO 64129",cold,76416,Grass,39.048889,-94.483889,264.9
8,AT&T Stadium,"Arlington, TX",2009,,retractable,"1 AT&T Way, Arlington, TX 76011",indoor,80000,FieldTurf,32.747778,-97.092778,163.4
9,Atlanta-Fulton County Stadium,"Atlanta, GA",1966,1991,outdoor,"521 Capitol Avenue SE, Atlanta, Georgia 30312",warm,,,,,
10,Balboa Stadium,"San Diego, CA",,,outdoor,"Balboa Stadium, San Diego, CA 92101",warm,,Grass,,,
11,Bank of America Stadium,"Charlotte, NC",1996,2016,outdoor,"800 S Mint St, Charlotte, NC 28202",moderate,73778,Grass,35.225833,-80.852778,221.9
12,Bills Stadium,"Orchard Park, NY",1973,,outdoor,"1 Bills Dr, Orchard Park, NY 14127",cold,73967,FieldTurf,42.889,-78.8901,178.0
13,Busch Memorial Stadium,"St. Louis, MO",1966,1995,outdoor,"700 Clark Ave, St. Louis, MO 63102",cold,,,38.56667,-90.36667,189.0
14,Caesars Superdome,"New Orleans, LA",1975,,indoor,"1500 Sugar Bowl Dr, New Orleans, LA 70112",indoor,76468,FieldTurf,,,
15,Candlestick Park,"San Francisco, CA",1960,2013,outdoor,"490 Jamestown Ave, San Francisco, CA 94124",moderate,,,37.713611,-122.386111,2.4
16,CenturyLink Field,"Seattle, WA",2002,,outdoor,"800 Occidental Ave S, Seattle, WA 98134",moderate,67000,FieldTurf,47.5952,-122.3316,93.0
17,Cinergy Field,"Cincinnati, OH",1970,1999,outdoor,"201 East Joe Nuxhall Way, Cincinnati 45202",cold,,,39.1,-84.51667,193.9
18,Cleveland Municipal Stadium,"Cleveland, OH",1931,1995,outdoor,"1085 West 3rd Street, Cleveland, Ohio 44114",cold,,,41.4057,-81.852,238.0
19,Cotton Bowl,"Dallas, TX",,,outdoor,"1300 Robert B Cullum Blvd., Dallas, TX 75210",moderate,,"Grass, Turf (1970-1971)",,,
